Substring	Substring_length	Replicate	Attempts	Runtime	Attempts_log	Runtime_log
t	1	1	21	0.0	3.044522437723423	-inf
t	1	2	31	0.0	3.4339872044851463	-inf
t	1	3	8	0.0	2.0794415416798357	-inf
t	1	4	30	0.0	3.4011973816621555	-inf
t	1	5	1	0.0	0.0	-inf
t	1	6	14	0.0	2.6390573296152584	-inf
t	1	7	1	0.0	0.0	-inf
t	1	8	3	0.0	1.0986122886681098	-inf
t	1	9	16	0.0	2.772588722239781	-inf
t	1	10	2	0.0	0.6931471805599453	-inf
to	2	1	187	0.001	5.231108616854587	-6.907755278982137
to	2	2	998	0.001	6.905753276311464	-6.907755278982137
to	2	3	480	0.0	6.173786103901937	-inf
to	2	4	1632	0.00203	7.397561535524052	-6.1997194859284415
to	2	5	1920	0.001	7.560080465021827	-6.907755278982137
to	2	6	1681	0.00197	7.427144133408616	-6.22972173623224
to	2	7	44	0.0	3.784189633918261	-inf
to	2	8	47	0.0	3.8501476017100584	-inf
to	2	9	184	0.0	5.214935757608986	-inf
to	2	10	90	0.0	4.499809670330265	-inf
to_	3	1	31603	0.032	10.36100733177766	-3.4420193761824103
to_	3	2	26747	0.02544	10.194177596502213	-3.6714325405102155
to_	3	3	17602	0.02073	9.775767810933758	-3.876173352534449
to_	3	4	2893	0.00398	7.970049304976135	-5.526473459685791
to_	3	5	14533	0.01502	9.58417720462617	-4.198372632646148
to_	3	6	23484	0.02498	10.064074617184076	-3.6896797742847056
to_	3	7	18811	0.01903	9.842197084093021	-3.961738597674079
to_	3	8	44957	0.04597	10.713461756362648	-3.0797662691640006
to_	3	9	1933	0.002	7.566828479208331	-6.214608098422191
to_	3	10	75334	0.073	11.229686839104678	-2.617295837833746
to_b	4	1	327853	0.35024	12.700320616176056	-1.0491366452075843
to_b	4	2	119095	0.126	11.687676772934015	-2.071473372030659
to_b	4	3	422580	0.51698	12.954134056967511	-0.6597510899415168
to_b	4	4	387489	0.4796	12.867442740275843	-0.7348028558287778
to_b	4	5	71603	0.08365	11.178892251512321	-2.481113851549304
to_b	4	6	321325	0.35714	12.680208350978333	-1.0296274172131583
to_b	4	7	251992	0.29899	12.437152619957898	-1.2073451509667945
to_b	4	8	5516	0.00579	8.615408238913192	-5.151622987397233
to_b	4	9	98623	0.10536	11.49905977910859	-2.2503722215471114
to_b	4	10	509178	0.54012	13.14055293970453	-0.6159639418892954
to_be	5	1	9347228	11.54511	16.050590386720543	2.4462619706952387
to_be	5	2	772222	0.947	13.55702735243493	-0.054456185796058855
to_be	5	3	29946836	35.74077	17.21493423420725	3.5762920539871716
to_be	5	4	2952798	3.5768	14.898263753374478	1.274468545937634
to_be	5	5	10923115	13.57275	16.206391744013416	2.608064106226283
to_be	5	6	150958	0.17784	11.92475693141201	-1.7268710093261959
to_be	5	7	3100931	3.77305	14.94721294694822	1.3278836929484341
to_be	5	8	26087841	31.86797	17.07697990167651	3.4616014301344706
to_be	5	9	5202885	6.34554	15.464723837395077	1.847752203927987
to_be	5	10	6318835	7.75884	15.659045413688137	2.048832838485118
to_be,	6	1	618782148	800.20536	20.243263826861124	6.68486839472612
to_be,	6	2	1297052461	1672.80538	20.983360189419546	7.422257364273767
to_be,	6	3	77763604	98.53519	18.16918406477906	4.590413743259533
to_be,	6	4	282456907	363.13589	19.459036555322196	5.894777116829472
to_be,	6	5	720595951	911.3201	20.39558913733381	6.8148942076617836
to_be,	6	6	622421052	870.0265	20.249127354163896	6.768523670954855
to_be,	6	7	109611904	156.23921	18.512456539718894	5.051388230232035
to_be,	6	8	212602620	299.75412	19.174935347408603	5.702962538600488
to_be,	6	9	627144012	847.70565	20.25668675643434	6.742533464685931
to_be,	6	10	520363294	668.86148	20.070037767910513	6.505576983382892
to_be,_	7	1	3175814175	4313.16684	21.87882986948859	8.369427678950913
to_be,_	7	2	38675409185	52973.97358	24.37846981344007	10.877556007394285
to_be,_	7	3	153817468	212.50782	18.851277184659367	5.358978787687368
to_be,_	7	4	6094794871	8353.77836	22.530700944022072	9.030469213702055
to_be,_	7	5	8023067668	15465.494	22.80558668793389	9.646366627706316
to_be,_	7	6	10842027331	20057.26541	23.106695838626244	9.906346731685053
to_be,_	7	7	17896688834	27645.16542	23.60788155134118	10.227206142476323
to_be,_	7	8	296864355	390.15214	19.508785875268202	5.9665367656175725
to_be,_	7	9	9616608160	12661.07597	22.986757457331755	9.446287681818182
